ID,product_name,product_fullname,category,category_list,actual_price,discount_price,discount_percentage,img_link,product_link,mapped_user_id_list
461,"Fire-Boltt Tank 1.85"" Bluetooth Calling Smart Watch","Fire-Boltt Tank 1.85"" Bluetooth Calling Smart Watch, 123 Sports Mode, 8 UI Interactions, Built in Speaker & Mic, 7 Days Battery & Fire-Boltt Health Suite",Electronics|WearableTechnology|SmartWatches,"['Electronics', 'WearableTechnology', 'SmartWatches']",198000,49500,75,https://m.media-amazon.com/images/I/41vQwUamFcL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Fire-Boltt-Bluetooth-Calling-Interactions-Speaker/dp/B0BNXFDTZ2/ref=sr_1_486?qid=1672895894&s=electronics&sr=1-486,"[562, 2464, 1160, 251, 5867, 2614, 6944, 1184]"
462,Elv Aluminium Adjustable Mobile Phone Foldable Holder Tabletop Stand Dock Mount for All Smartphones,"Elv Aluminium Adjustable Mobile Phone Foldable Holder Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Moonlight Silver)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,"['Electronics', 'Mobiles&Accessories', 'MobileAccessories', 'Stands']",24700,5200,79,https://m.media-amazon.com/images/I/41pmcRIe45L._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Aluminium-Adjustable-Mobile-Foldable-Smartphones/dp/B088ZFJY82/ref=sr_1_493?qid=1672895894&s=electronics&sr=1-493,"[1622, 277, 4267, 3608, 2936, 5913, 919, 708]"
463,Samsung Galaxy M13 5G (Stardust Brown,"Samsung Galaxy M13 5G (Stardust Brown, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,"['Electronics', 'Mobiles&Accessories', 'Smartphones&BasicMobiles', 'Smartphones']",321700,231600,28,https://m.media-amazon.com/images/I/41Ims-JX0kL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Samsung-Stardust-Storage-5000mAh-Battery/dp/B0B4F4QZ1H/ref=sr_1_496?qid=1672895894&s=electronics&sr=1-496,"[8836, 6777, 8445, 1735, 3892, 944, 8585, 1431]"
464,DYAZO USB 3.0 Type C Female to USB A Male Connector/Converter/Adapter Compatible for Samsung Galaxy Note s 20 10 Plus Ultra,"DYAZO USB 3.0 Type C Female to USB A Male Connector/Converter/Adapter Compatible for Samsung Galaxy Note s 20 10 Plus Ultra,Google Pixel 4 5 3 2 & Other Type-c Devices",Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,"['Electronics', 'Mobiles&Accessories', 'MobileAccessories', 'Cables&Adapters', 'OTGAdapters']",8200,2300,72,https://m.media-amazon.com/images/I/4111qlSCaKL._SY300_SX300_QL70_ML2_.jpg,https://www.amazon.in/Connector-Converter-Adapter-Compatible-Samsung/dp/B09BCNQ9R2/ref=sr_1_497?qid=1672895894&s=electronics&sr=1-497,"[8855, 6908, 8568, 6683, 128, 81, 1200, 1080]"
465,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear","['Electronics', 'Headphones,Earbuds&Accessories', 'Headphones', 'In-Ear']",16500,6100,63,https://m.media-amazon.com/images/I/31IdiM9ZM8L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_1?qid=1672902995&s=computers&sr=1-1,"[3354, 8627, 3702, 3590, 8043, 3822, 5292, 5682]"
466,boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance (Bold Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear","['Electronics', 'Headphones,Earbuds&Accessories', 'Headphones', 'In-Ear']",74100,24500,67,https://m.media-amazon.com/images/I/31GUbeFG3FL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_2?qid=1672902995&s=computers&sr=1-2,"[2422, 903, 5146]"
467,SanDisk Cruzer Blade 32GB USB Flash Drive,SanDisk Cruzer Blade 32GB USB Flash Drive,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,"['Computers&Accessories', 'ExternalDevices&DataStorage', 'PenDrives']",10700,4700,56,https://m.media-amazon.com/images/I/310mw9KTJvL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/SanDisk-Cruzer-Blade-Flash-Drive/dp/B005FYNT3G/ref=sr_1_5?qid=1672902995&s=computers&sr=1-5,"[441, 7976, 2733, 3988, 2937, 3147, 7906, 2189]"
468,Logitech B170 Wireless Mouse,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice","['Computers&Accessories', 'Accessories&Peripherals', 'Keyboards,Mice&InputDevices', 'Mice']",14800,9900,33,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31y-oJ1XnqL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Logitech-B170-Wireless-Mouse-Black/dp/B01J0XWYKQ/ref=sr_1_6?qid=1672902995&s=computers&sr=1-6,"[7992, 7994, 2504, 5766, 8290, 7728, 1158, 3190]"
469,Storio Kids Toys LCD Writing Tablet 8.5Inch E-Note Pad Best Birthday Gift for Girls Boys,"Storio Kids Toys LCD Writing Tablet 8.5Inch E-Note Pad Best Birthday Gift for Girls Boys, Multicolor (SC1667)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets","['Computers&Accessories', 'Accessories&Peripherals', 'Keyboards,Mice&InputDevices', 'GraphicTablets']",3900,3600,8,https://m.media-amazon.com/images/I/51YTmlApiXL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Storio-Writing-Tablet-8-5Inch-Birthday/dp/B09CTRPSJR/ref=sr_1_7?qid=1672902995&s=computers&sr=1-7,"[7063, 3865, 8507, 1632, 8098, 2271, 7046, 2582]"
470,boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback,"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear","['Electronics', 'Headphones,Earbuds&Accessories', 'Headphones', 'In-Ear']",49300,21200,57,https://m.media-amazon.com/images/I/31KjuRb9oNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=sr_1_8?qid=1672902995&s=computers&sr=1-8,"[2422, 5269, 5451, 5255, 4464, 2211, 3412, 5015]"
471,SKE Bed Study Table Portable Wood Multifunction Laptop-Table Lapdesk for Children Bed Foldabe Table Work with Tablet Slot & Cup Holder Brown Black,SKE Bed Study Table Portable Wood Multifunction Laptop-Table Lapdesk for Children Bed Foldabe Table Work with Tablet Slot & Cup Holder Brown Black,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,"['Computers&Accessories', 'Accessories&Peripherals', 'LaptopAccessories', 'Lapdesks']",11500,4400,62,https://m.media-amazon.com/images/I/41EbxurQIDL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/SKE-Portable-Multifunction-Laptop-Table-Children/dp/B0B72BSW7K/ref=sr_1_9?qid=1672902995&s=computers&sr=1-9,"[2565, 5515, 7330, 983, 5265, 6177, 4980, 2392]"
472,boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback,"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP  Charge, IPX7, Dual Pairing, BT v5.0, with Mic (Active Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear","['Electronics', 'Headphones,Earbuds&Accessories', 'Headphones', 'In-Ear']",65800,23000,65,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31HCup1pqFL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_12?qid=1672902995&s=computers&sr=1-12,"[7805, 5489, 5754, 4526, 5534, 8894, 2916, 8833]"
473,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,"['Computers&Accessories', 'Accessories&Peripherals', 'LaptopAccessories', 'NotebookComputerStands']",24700,5700,77,https://m.media-amazon.com/images/I/51aYKwgu-GL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/STRIFF-Adjustable-Patented-Ventilated-Compatible/dp/B07XCM6T4N/ref=sr_1_13?qid=1672902995&s=computers&sr=1-13,"[798, 2360, 4881, 6563, 1622, 5155, 2144, 4369]"
474,ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear","['Electronics', 'Headphones,Earbuds&Accessories', 'Headphones', 'In-Ear']",6600,2400,63,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31DYx7AhW6L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Zebronics-Zeb-Bro-Wired-Earphone/dp/B07T5DKR5D/ref=sr_1_14?qid=1672902995&s=computers&sr=1-14,"[8824, 6381, 6500, 1126, 7017, 8798, 6087, 3569]"
475,boAt Rockerz 450 Bluetooth On Ear Headphones with Mic,"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear","['Electronics', 'Headphones,Earbuds&Accessories', 'Headphones', 'On-Ear']",65800,20400,69,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/315vj6oj-FL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_16?qid=1672902995&s=computers&sr=1-16,"[7474, 506, 3055, 8959, 3997, 61, 3405, 4937]"
